component,species,genome,npops,syndrome,asymmetry_p,asymmetry_r,diversity_p,diversity_r,flow_p,flow_r,isolation_p,isolation_r
1065f,Larix olgensis,cp,4,1,0.13,0.7433046278228502,NA,NA,0.15200000000000002,0.8134893483698762,NA,NA
66b,Larix sibirica,cp,108,1,0.594,-0.015777747134118367,0.42100000000000004,0.01948888730593924,0.64,-0.0161655001788604,0.9299999999999999,-0.06671251103097017
130b,Nothofagus alpina,nu,12,1,0.14500000000000002,0.19749811223289543,0.475,0.008489575849267074,0.17700000000000005,0.1208001788319951,0.369,0.048041641096112586
132b,Nothofagus antarctica,nu,16,1,0.929,-0.30105751776677653,0.49,0.017814629661425004,0.888,-0.14572704316025534,0.06699999999999995,0.18103937197429248
133a,Nothofagus cunninghamii,nu,18,1,0.656,-0.0771444832663902,0.654,-0.08976458941303588,0.009000000000000008,0.2027872412931695,0.0030000000000000027,0.40795452033197277
130c,Nothofagus glauca,nu,8,1,0.33299999999999996,0.08955021070138787,0.41300000000000003,0.02383170981371791,0.15800000000000003,0.1036800063448706,0.271,0.12946201687464887
130a,Nothofagus obliqua,nu,20,1,0.521,-0.008245136026661442,0.29500000000000004,0.08043402435879321,0.896,-0.08697339301377152,0.989,-0.19933669369170315
132a,Nothofagus pumilio,nu,15,1,0.8069999999999999,-0.19109661551703,0.618,-0.05806203126758621,0.861,-0.12315618033718344,0.358,0.05260040098060292
1074a,Picea abies,nu,63,1,0.028000000000000025,0.18273732219381275,0.481,0.005552257260982575,0.008000000000000007,0.12027133662534958,0.996,-0.10733839674513082
86a,Picea abies,nu,13,1,0.764,-0.15043147368218102,0.04700000000000004,0.37505144520744826,0.65,-0.03824134882300764,0.894,-0.18438382582920013
1084a,Picea engelmannii,nu,5,1,0.30500000000000005,0.2912386071289871,0.02300000000000002,0.7497118256261146,0.33699999999999997,0.15776647326980262,NA,NA
79a,Picea engelmannii,nu,3,1,0.15200000000000002,0.7869193424575032,0.825,-0.8221687913449103,0.15200000000000002,0.7869193424575774,0.495,0.5335011417736921
1084b,Picea glauca,nu,3,1,0.498,-0.15298835191889196,0.657,-0.8799327022970833,0.498,-0.1529883519188919,0,0.8997567428220958
72a,Picea mariana,nu,9,1,0.405,0.06418052618978946,0.06000000000000005,0.5684591955620942,0.136,0.1214500083930002,0.344,0.08946429054783282
1074b,Picea obovata,nu,20,1,0.957,-0.3141803146914951,0.05900000000000005,0.3471041069292502,0.5920000000000001,-0.01919772198727972,0,0.34469241404378864
72b,Picea rubens,nu,7,1,0.20099999999999996,0.3481728444363612,0.18100000000000005,0.1945494315265273,0.14700000000000002,0.2093820982684016,0.632,-0.11658966555077505
76a,Picea rubens,nu,5,1,0.14600000000000002,0.4723339266432833,0.062000000000000055,0.45691622591151904,0.118,0.31897252106050794,0.261,0.2067579625416407
76b,Picea rubens,nu,5,1,0.03500000000000003,0.7412962933734167,0.062000000000000055,0.45691622591151904,0.020000000000000018,0.3823115940895349,0.20499999999999996,0.5689208715127421
99a,Pinus banksiana,nu,5,1,0.946,-0.7874685090199294,0.46299999999999997,-0.05906108157949664,0.959,-0.44559953689547444,0.7110000000000001,-0.29130998476059666
99b,Pinus contorta,nu,17,1,0.0050000000000000044,0.48783092951771134,0.979,-0.49023981210563083,0.05300000000000005,0.2628043035492362,0.972,-0.31536628215099316
1097a,Pinus ponderosa,nu,3,1,0.16800000000000004,0.6323179260568896,0.482,-0.849960568343995,0.16800000000000004,0.6323179260568882,0,0.9008218184646373
1082a,Pinus strobus,nu,4,1,0.43600000000000005,-0.025309007314681387,0.44899999999999995,0.08052877445222183,0.395,0.016830563436503822,0.30600000000000005,0.824747186256186
1092a,Populus angustifolia,nu,9,1,0.09499999999999997,0.3750708518944544,0.0020000000000000018,0.660499822038749,0.040000000000000036,0.2099446218197783,0.30900000000000005,0.09057263875505776
47a,Populus balsamifera,nu,33,1,0.019000000000000017,0.2777140067527882,0.766,-0.12256710230467449,0,0.3080161611072155,0.018000000000000016,0.17970104368832
1049a,Populus nigra,nu,12,1,0.14200000000000002,0.22226344501814047,0.785,-0.18707498398887734,0.5,0.005891428889493098,0.07699999999999996,0.1907095963101368
1045a,Populus tremuloides,nu,27,1,0.04200000000000004,0.22731018595078614,0.714,-0.10011545121477923,0.601,-0.022922658443520247,0.942,-0.1519379736929676
1059a,Ulmus laevis,nu,20,1,0.04400000000000004,0.2867222074029192,0.0030000000000000027,0.5699504784101513,0.02300000000000002,0.17902199062016724,0.133,0.09670827856354328
